Renee Olstead;Skylark;4:4;10
Morrissey;Something Is Squeezing My Skull;2:30;10
Kasia Kowalska;Spowiedz (Radio Single);3:5;11
Gathania;Blame It On You (Radio Edit);3:4;11
Florence & The Mashine;Rabbit Heart;3:23;11
Ania Wyszkoni;Czy Ten Pan I Pani;2:54;19
The Veronicas;Take Me On The Floor;3:20;12
Taylor Swift;Teardrops On My Guitar;3:6;10
Sylwia Grzeszczak & Liber;Mijamy Sie (RadioMIX);3:54;11
Splendid;Leave It Alone;3:7;10
Marquess;Arriba;3:8;10
Sylwia Grzeszczak & Liber;Co Z Nami Będzie - Final;3:12;12
The Fray;Never Say Never;4:9;11
The Black Eyed Peas;I Gotta Feeling (Radio);4:2;13
Sami;Znaczek;3:49;10
Stefanie Heinzmann;Revolution;3:28;7
TONI BRAXTON;Yesterday;4:6;22
Lipali;Zycie cudem (Radio Edit);3:57;13
Madcon;Liar;3:4;3
Oceana;Cry Cry;3:10;13
Muchy;Zimne kraje;3:30;5
Urszula;Dzis Juz Wiem;4:33;9
Incubus;Black Heart Inertia (Radio Edit);4:19;3
Morandi;Colors;4:9;9
Rihanna;Rehab (Radio Edit);3:59;3
Kult;Marysia (Wersja Radiowa);3:21;4
Pink;Sober;4:8;5
Robert Gawliński;Tuareg;3:42;3
Train;Hey, Soul Sister;3:34;9
Yugopolis Paweł Kukiz;Bez kagańca;3:36;4
Katy Perry;Waking Up In Vegas;3:12;5
Foo Fighters;Wheels;4:27;3
Bon Jovi;We Weren't Born To Follow;3:58;3
Basia;A Gift;3:38;3
Queensberry;Hello (Turn Your Radio On);3:10;5
The Killers;A Dustland Fairytale;3:36;3
The Raconteurs;Old Enough;3:52;4
Video;Będzie Piekło;3:22;3
Bruce Springsteen;My Lucky Day;3:58;4
CHARLOTTE GAINSBOURG;Heaven Can Wait;2:35;3
Annie Lennox;Pattern Of My Life;3:45;3
Alexander Rybak;Roll With The Wind;3:26;6
Rob Thomas;Someday;3:58;3
The Lost Fingers;Billie Jean;4:14;8
Kindla;Nowy Dzień;3:39;3
A;Ha;3:41;14
Alicia Keys;Try sleeping with a broken heart;3:47;7
Robert Gawliński;Ksiega zdarzeń;3:22;1
Animal Kingdom;Tin Man;4:15;4
PATRYCJA MARKOWSKA;Tak o mnie walcz;3:19;6
Chipmunk;Until You Were Gone;3:28;4
Akurat;Fantasmagorie;3:15;2
Cheryl Cole;Fight For This Love;3:44;20
BIFFY CLYRO;MANY OF HORROR;4:6;4
Rh+;Nadzieja;3:26;8
Pixie Lott;Cry Me Out (Album Version);4:0;11
Black Eyed Peas;Rock That Body;3:53;6
Seventeen;Małe Zło;4:0;8
Whitney Houston;Nothin’ But Love;3:34;7
Avril Lavigne;Alice (Radio Edit);3:22;16
FORMACJA NIEŻYWYCH SCHABUFF;Supermarket;4:39;3
Broken Bells;The High Road;3:47;7
Marit Larsen;Under the Surface;4:8;8
BRACIA;Jaskółka uwięziona;5:13;2
Leona Lewis;I Got You (Main Version);3:45;5
Katie Melua;The Flood;4:2;11
MYSLOVITZ;Scenariusz Dla Moich Sąsiadów;3:9;3
3 DOORS DOWN;Let Me Go;3:46;2
Kaiser Chiefs;Love's Not A Competition But I'm Winning;2:59;3
Silski;Gdy Umiera Dzień;3:38;4
Kid Rock;All Summer Long [Radio Edit];3:51;1
Robert Gawliński;Porywisty wiatr;3:49;2
Kings Of Leon;Sex On Fire;3:23;7
ZBIGNIEW HOLDYS;Stalker;3:57;2
Queen;Who Wants to Live Forever (Highlander Theme);5:59;1
Shaggy;Boombastic;4:7;2
EWELINA FLINTA;Zaluje;3:28;1
STING;Mad About You;3:48;2
Tom Jones Feat Mousse T;Sexbomb;3:26;1
De Mono;Asfaltowe Łąki;3:7;5
U2 & Green Day;The Saints Are Coming;3:18;2
The Ting Tings;Shut Up And Let Me Go [Album Version];2:49;1
Live;Dolphin's Cry;4:17;2
Duffy;Mercy;3:38;10
dzem;harley moj;4:12;2
EAGLE EYE CHERRY;Save Tonight;3:38;8
Acdc;Anything Goes;44:20;1
Robert Gawliński;Grey;3:6;2
Kumka Olik;Zaspane Poniedzialki;3:36;1
Roxette;Joyride;5:10;2
Annie Lennox;No More ''i Love You's'';4:42;1
U2;Where The Streets Have No Name;5:23;1
4 Non Blondies;Whats Up;4:49;2
Geri Halliwel;Mi Chico Latino;3:12;3
Beatles;All You Need Is Love;3:27;1
Bananarama;Venus;3:41;7
Incubus;Black Heart Inertia;5:42;1
Billy Idol;Hot In The City;3:48;1
Jamiroquai;Oinsanity;3:46;1
Aerosmith;Crazy;5:8;2
Carlos Santana;Samba Pa Ti;4:25;1
Robbie Williams;Rock Dj;4:3;2
ARETHA FRANKLIN;Respect;14:37;3
Robert Gawliński;Natura zła;3:29;3
Bruce Springsteen;Born In The Usa;4:36;4
Pretenders;Love's A Mystery;2:56;1
Eric Clapton;Layla;8:26;1
T Love;I Love You;5:5;2
Bobby Mcferrin;Don't Worry Be Happy;3:49;1
Led Zepellin;All Of My Love;5:27;1
Take That;The Garden;4:49;1
Will Smith;Man In Black;5:49;1
Dire Straits;Money For Nothin;7:56;1
Louis Armstrong;Wonderful World;2:17;1
Reamon;Josephin;3:31;6
Electric Light Orchestra;Rock And Roll Is King;3:4;3
Jimi Hendrix;Hey Joe (1) (1);3:54;1
Lenny Kravitz;Fly Away;3:38;3
Omd;Walking On The Milkyway;4:31;1
Franke Goes To Hollywood;Relax;3:52;1
Zucchero With John Lee Hooker;I Lay Down;4:32;1
Pearl Jam;Once;3:8;1
Tom Jones;Copacabana;7:0;1
Genesis;Congo;6:54;2
Robert Gawliński;Kalejdoskop Bardo;3:31;11
Red Hot Chilli Peppers;Scar Tissue;3:33;1
Moby;Natural Blues;4:8;1
Steppenwolf;Born To Be Wild;3:23;1
Guns N' Roses;Knockin' On Heaven's Door;5:30;1
Blenders;Czarny Ciągnik;3:10;1
Fisz Emade;666;3:21;1
Anna Jantar;Tyle Slonca W Calym Miescie;4:0;2
Kajagoogoo;Too Shy;3:36;2
Taking Back Sunday;Sink Into Me;2:59;1
Norbi;Kobiety Sa Gorace;3:17;5
Faith No More;Easy;3:3;5
Ub40;Can't Help Falling In Love;3:7;1
The Fray;You Found Me (Album Version);3:56;1
Crash Test Dummies;Mmmm...;3:44;1
Des'ree;Life;4:32;1
lady gaga feat. beyonce;telephone;4:1;7
ROOM  5;Make Luv;5:41;1
hakimakli;one love;3:25;4
Agnieszka Chylinska;Wybaczam Ci;4:3;23
cascada;fever (radio edit);3:18;4
tiesto ft nelly furtado;who wants to be alone (radio edit);3:53;27
Christina Aguilera;Not Myself Tonight (single version);3:1;14
ROGER SANCHEZ;another chance;3:22;1
Katerine;Enjoy the Day;2:59;21
Daniel Bovie And Roy Rox Feat Nelson;Love Me;3:7;16
b.o.b;nothin' on you (feat. bruno mars);4:41;9
Steve Watt ft. Jean Philippe;Give It Up (Radio Edit);3:10;6
Skreatch Feat John Green;Roxanne S Lullaby;4:42;19
KE$HA;Blah Blah Blah feat. 3OH!3 (Main Version);2:54;7
Naughty Boy;Never Be Your Woman;2:24;7
Jay Ko;One;3:53;3
David Guetta;Memories (Featuring Kid Cudi);3:29;10
Owl City;Fireflies;3:35;15
Aura Dione;I Will Love You Monday;3:27;18
Antoine Clamaran;When The Sun Goes Down;4:45;9
MADONNA;Nothing Really Matters;4:9;1
Britney Spears;Mannequin;3:58;1
Goldfrapp;Rocket (Tiësto Remix Radio Edit);4:13;5
Akcent;Love Stoned;3:48;5
N Dubz;I Need You;3:16;12
Sean Kingston  Justin Beiber;Eenie Meenie (Album version);3:21;33
Ginuwine;Get Involved;3:34;2
Nelson;Shes Gone;3:33;6
edward maya;this is my life;3:46;5
inna;10 minutes (radio edit);3:33;5
Rico Bernasconi vs. Ace ofBase;Cruel summer;3:18;3
mark oh;united;3:50;7
timbaland, justin timberlake;carry out;4:15;1
Jan Wayne;She's Like The Wind;4:5;2
HERMES HOUSE BAND;SUZANNA (RADIO VERSION);3:43;2
cascada;faded;2:42;3
2_4_Grooves;Rock_Se;4:14;2
Alexandra burke;Broken Heels (Radio Edit);4:7;7
tinchy stryder;never leave you ft. amelle .mp31269836666_[mp3.teledyski.info];3:28;6
akcent;that's my name 2010 (feat. lora);3:58;4
David Guetta feat. Estelle;One love;4:19;4
Christina Aguilera;Dynamite;3:2;3
ian carey;keep on rising;3:30;5
andrew_spencer_vs_lazard_;_here_without_you_2;3:25;2
Alexander Rybak;Fairytale (Extended Master);4:37;1
prezioso and marvin;the riddle;3:46;4
Scooter;The Sound Above My Hair (radio edit);3:34;5
Timbaland feat Nelly Furtado & Sosh;Morning After Dark;3:49;3
AntoineClamaran;Reach for the stars;3:13;1
Armin Van Buuren Feat Sharon Den Adel;In & Out Of Love;3:2;5
Pitbull;Pearly Gates;3:29;12
Robin S and Corey Gibbons;At My Best (Radio Edit);3:4;1
Alan Basski Feat Liber;Tak Mialo Byc;3:22;10
markowski sygitowicz;kazdej nocy;3:10;7
MoveTown;Girl You Know It's True (Radio Edit) 2010;3:30;8
Activ 8;Simply The Best;3:23;2
Mariah Carey;I Want To Know What Love Is (Nu Addiction Club Edit);3:25;2
Pauline;Never Said I Was An Angel;3:6;10
Safri Duo;Falling High;3:34;1
The Black Eyed Peas;Invasion Of I Gotta Feeling Megamix E.P. (Taboo's Spanglish Remix);4:47;1
Paulla;tak malo o zyciu;3:30;18
Inna;Amazing;3:8;4
Kasia Kowalska;baby blues (radio edit short);3:44;1
Ian Carey;Shot Caller (Radio Edit);3:1;1
KE$HA;TiK ToK (Single Edit);3:18;5
Agnes;I Need You Now (Radio Remix);3:9;3
Robert M Feat Nicco;Dance Hall Track;3:23;5
Hi Tack;Silance;2:58;1
Kid massive;Sweet dreams;2:48;1
Novaspace;Time after time;3:30;1
Aspen;Feells like heaven;3:44;1
ATB;9 pm reloaded;3:56;3
Guru josh project;Crying in the rain;3:1;2
MODERN TALKING;You're My Heart, You're My Soul;4:14;3
mezo;zemsta;3:33;4
Ellie Goulding;Stary Eyed;2:55;14
Jay;Z;4:9;5
Tiësto Feat. Sneaky Sound System;I Will Be Here;3:31;3
Eddie Wata;I Love My People;4:28;2
Stromae;Alors On Danse;3:24;10
Basic Element;Feelings;3:21;3
Chris Brown;Forever;4:27;2
Ania Wyszkoni;Lampa i sofa;3:50;38
Timbaland feat Katy Perry;If We Ever Meet Again;4:13;10
Alicia Keys & Beyonce;Put It In A Love Song;3:14;2
Gabriela  Cilmi;On A Mission;3:7;9
Lasgo;Lost;2:54;1
Kat DeLuna & Akon;Push Push;3:48;7
Alexandra Burke Feat. Flo Rida;Bad Boys;7:55;4
NATALIA_KUKULSKA;Zakochani;3:47;1
Justin Bieber;Baby Feat. Ludacris;3:31;2
Melanie Fiona;Monday Morning;3:32;26
Enrique Iglesias;Hero;4:19;1
A.Rybak;Roll with the wind;3:27;2
Prodigy;Voodoo People;4:2;1
04;the_rasmus_;3:44;8
21 allstars;powinnas byc ze mna;3:37;1
Booty Luv;Say It (Radio Edit Final);2:56;1
Evanescence;01;3:37;1
Tomq;Fascynacje;4:9;2
Monopol;Zodiak;3:27;5
Goldfrapp;Rocket;3:42;13
Krzysztof Krawczyk;Chciałem byc;3:38;1
Natalia Kukulska & Anna Jantar;Tyle słońca w całym mieście;3:51;1
Robbie Williams;You Know Me;4:10;5
Urszula;Kazdy Z Nas Ma;3:18;13
TONI BRAXTON;Yesterday (Album Version);3:40;5
Scorpions;The Good Die Young (Radio Edit);3:46;8
Alicia Keys feat. Beyonce;Empire State Of Mind (Part II) Broken Down;3:28;11
Iyaz;Solo (Radio Version);3:19;6
ira;nie daj mi odejsc.mp31267446611_[mp3.teledyski.info];4:7;6
Timbaland feat Katy Perry;If We Ever Meet Again (Radio Edit);3:57;6
Oh Laura;Release Me;3:5;2
Gabriella Cilmi;On A Mission (Riffs and Rays Radio Edit);3:12;4
Ewa Farna;La La Laj;3:15;4
Danny;Just Like That;3:0;9
Ania;Suicide is Painless;2:51;13
Nefer;Chciałem Zostać Sam;2:50;5
Rihanna;Rude Boy;3:41;12
Andrzej Piaseczny;Chcieć I Już;3:33;16
Bon Jovi;Superman Tonight (Radio Edit);4:2;4
Shakira;Gypsy;3:12;15
Video;Fantastyczny Lot;3:1;8
Mika;Blame It On The Girls;3:31;8
Bisquit;jeszcze_lepiej;3:2;6
Leona Lewis;I Got You;3:43;5
Black Eyed Peas;Meat Me Halfway;3:42;8
Budka Suflera;Sięgnąć Gwiazd;3:28;10
Agnieszka Chylinska;Nie Moge Cie Zapomniec;3:59;12
Sasha;Zaczaruj Mnie Ostatni Raz;3:21;6
Jason Derulo;Whatcha Say;3:38;6
HoneyHoney;Little Toy Gun;2:32;6
Shontelle;;3:42;1
Jonas Brothers;When You Look Me In The Eyes;3:52;1
Alesha Dixon;The Boy Does Nothing;3:21;8
James Morrison feat Nelly Furtado;Broken Strings;4:6;3
Kardinal Offishal feat Akon;Dangerous;3:44;1
Video;Bella;3:16;3
Szymon Wydra & Carpe Diem;Dlaczego Ja;3:22;1
Sugababes;Denial;3:17;4
Santana Feat Jennifer Lopez & Baby Bash;This Boy's Fire;3:25;2
Rihanna;Disturbia [Main];3:55;4
Pin;Pojde Pod Wiatr, Jak Najdalej;3:8;1
One Republic;Stop And Stare;3:37;4
Ne-Yo;Closer;3:52;1
Marquess;La Histeria;3:0;2
Madonna;Give It 2 Me;3:50;6
Matt Pokora;Catch Me If You Can;3:31;3
Lady Gaga Feat. Colby O'donis;Just Dance [Main];3:56;2
Kylie;In My Arms;3:28;9
Leona Lewis;Better In Time;3:43;6
Katy Perry;Hot N Cold;3:34;3
Kasia Wilk;Pierwszy Raz;3:37;8
Kasia Kowalska;A Ty Czego Chcesz;3:33;1
Jonas Brothers;Burnin' Up;2:53;1
Kasia Cerekwicka;Dylemat;3:6;2
Elize;Lovesick (Beatfreakz Radio Edit);3:11;2
Formacja Nieżywych Schabuff;Przez Chwilę;3:33;1
Danny;Tokyo (Spanish Version);3:9;1
Edyta Górniak;To Nie Tak Jak Myślisz;2:45;1
Craig David;Insomnia;3:17;2
Feel;Jak Aniola Glos;3:15;7
Christina Aguilera;Keeps Gettin' Better;2:58;2
Ewelina Flinta, Łukasz Zagrobelny;Nie Kłam Że Kochasz Mnie;3:7;5
Taylor Hawkins  The Coattail Riders;Way Down (Main Version);3:47;11
Robert Gawliński;W cieniu ciszy;3:49;2
THE DARKNESS;I Believe In A Thing Called Love;3:28;2
GOOD CHARLOTTE;The Anthem;2:53;2
IRA;Ikar;3:25;1
RED HOT CHILLI PEPERS;Around The World;3:54;1
VAN HALEN;Jump;2:50;1
Robert Gawliński;Grzesznicy;3:20;2
3 Doors Down;Let Me Be Myself;3:40;1
MANIC STREET PREACHERS;The Love Of Richard Nixon;3:23;1
LADY PANK;Mniej Niż Zero;3:53;3
NELLY FURTADO;Turn Off The Light;4:22;1
Alicia Keys;Superwoman;3:52;1
Arash;Pure Love;4:6;2
MEJA;All About The Money;8:8;4
EDYTA GEPPERT;och zycie kocham cie nad zycie;7:41;1
republika;Nie pytaj o Polske;10:39;1
Maryla Rodowicz;Jest Cudnie;6:26;3
NEW RADICALS;Get You Give;54:53;1
Anita Lipnicka And John Porter;Lonesome Traveller;3:56;1
Rembrants;I'll_Be_There_For_You;2:58;6
Ayo;Slow Slow (Run Run);3:18;1
NICKELBACK;Photograph;3:45;1
Beck;Gamma Ray;2:48;1
BOB MARLEY;I Shot The Sheriff;4:35;1
Bob Dylan;Dreamin’ Of You [Single Edit];3:34;1
GAROU;Seul;4:33;3
NO DOUBT;Don't Speak;4:18;5
POINTER SISTERS;I'm So Excited;3:41;1
Chris Rea;Josephine;3:53;4
TINA TURNER;We Don't Need Another Hero;6:25;2
GEORGE MICHAEL;Fastlove;4:59;2
Coldplay;Viva La Vida (Radio Edit);3:41;3
GIPSY KINGS;Bamboleo;3:22;1
Oasis;Don't Look Back In Anger;4:43;1
PINK;Just Like A Pill;3:48;2
GORILLAZ;Clint Eastwood;4:22;3
NORAH JONES;Don't Know Why;4:3;2
Cyndi Lauper;Into The Night Life [Album Version];3:50;1
QUEEN & DAVID BOWIE;Under Preasure;3:40;1
GRACE JONES;Strange;4:58;2
Dido;Don’t Believe In Love;5:47;1
DURAN DURAN;Reach Up For The) Sunrise;3:17;1
Donna Summer Feat Ziggy Marley;Crayons;3:10;1
GOTAN PROJECT;Last Tango In Paris;4:36;1
Eric Prydz;Pjanoo (Radio Edit);2:35;1
BON JOVI;It's My Life;3:38;3
REAMONN;Allright;4:42;1
GOOD CHARLOTTE;Girls & Boys;2:49;1
Fergie;Labels Or Love;3:47;1
EDYTA BARTOSIEWICZ;Szał;3:15;1
OUTKAST;Ms Jackson;4:23;4
GOLDEN LIFE;Wszystko To Co Mam;3:27;1
Guns N' Roses;Better;4:56;1
SEAL;Love's divine;4:8;1
MODJO;Lady [acoustic];4:58;3
EMIGRANCI;Na Falochronie;5:5;3
SHAGGY;Angel;3:58;3
Texas;Summer Son;3:55;9
JAMELIA;Superstar;3:32;9
T LOVE;Chłopaki Nie Płaczą;3:12;1
Pink;Funhouse;3:24;6
Chris Cornell;Part Of Me;3:38;3
Agnes;Release Me;3:9;2
NELLY FURTADO;I'm Like A Bird;3:54;3
Colbie Caillat;Fallin For You;3:31;1
OUTKAST;Hey Ya!;3:51;1
Wilki;Urke;3:19;2
Bel;Mondo;3:22;1
Bomfunk MC;Something's Going On;3:47;5
Leona Lewis;Forgive Me;3:21;3
Madonna;Give It 2 Me [Single Version];4:2;1
t wanna know;96%;4:7;1
Shania Twain;K;3:20;1
MAROON 5;This Love;3:17;5
Shaun Baker – V.I.P. [Sebastian Wolter Original Ra;6040;3:20;1
David Guetta;One Love;6:10;2
5th Element;Hold The Line (Pablode Silva & Nash T);3:9;3
MILKY;Just the way you are;3:29;1
Sugababes;About You Now;3:30;3
Michael Bolton;Love So Beautiful;4:0;1
Katerine;Ayo Technology.mp3;3:31;2
La Roux;Bulletproof;3:24;4
Lenka;Trouble Is A Friend;3:24;3
Santana feat.Mana;Corazon Espinado;4:28;7
Ace Of Base;Beautiful Life (1995);3:35;3
Morandi;Save Me;3:20;3
Elize;Into Your System [Radio Version];3:6;3
Enrique Iglesias;Can You Hear Me;3:36;5
Chiwas Nowator;Za granicami kraju;3:30;1
Roisin Murphy;You Know Me Better;4:9;1
Mary J Blige & U2;One;4:11;2
30;04;0:18;7
Paloma Faith;Upside Down;3:6;21
29;04;2:57;6
Willem;Heartbox;3:44;12
Kasia Cerekwicka;Wszystko czego chcę od Ciebie (Radio Version);3:41;32
Raz Dwa Trzy;Dalej niż sięga myśl;4:19;5
Sade;Babyfather (radio edit);4:0;3
Antoine Clamaran feat. Soraya&nbsp;Original radio edit;3:22;2
Wyclef Jean;Hold On (feat. Mavado);4:9;1
Taio Cruz feat. Ludacris;Break Your Heart;3:3;8
Daniel Bovie feat. Roy Rox;Love Me;4:20;2
Uffie;Pop The Glock;3:40;1
Dennis Christopher;Set It Off (Ian Carey vs Emte Radio Edit);3:25;3
Keri Hilson;I Like;4:14;14
Kyle Evans;Love You Tonight (Radio Edit);3:37;6
Klaas Meets Haddaway;What Is Love (Cansis Remix);5:17;1
Fargetta Get Far;The Radio;3:2;4
Edward Maya and Vika Jigulina;Stereo Love (Radio Mix);3:34;4
Remady P&R;No Superstar (Radio Mix);3:33;1
Selena Gomez;Naturally;3:22;12
N;Dubz;3:22;5
Kasia Kowalska;Baby Blues Radio Edit Short;3:43;24
Robert Chojnacki;Kolacja We Dwoje;3:37;2
Modest Mouse;Dashboard;4:24;6
Ocean Drive ft. Dj Oriska;Because;3:36;3
James Brown;It's a man's man's world;2:46;1
Ellie Goulding;Salt Skin;4:54;7
Ellie Goulding;The Writer;4:24;5
Shakin Stevens;You Drive Me Crazy;2:43;1
CHRIS REA;The Road To Hell;4:24;3
Omd;Enola Gay;3:25;6
11;Lynard Skynard;4:35;2
Lady Pank;Dobra Konstelacja;4:12;2
LIQUIDO;Narcotic [radio edit];3:47;6
Simply Red;Sunrise;3:13;1
Warren G F. Adina Howard;What's Love Got To Do With It;4:13;4
LAURA BRANIGAN;SELF CONTROL;3:58;5
T Love;Gnijacy Swiat;3:22;7
FAITHLESS & DIDO;One Step Too Far;3:16;3
KULT;Lewe Lewe Loff;3:45;6
Us3;Cantaloop (1994);4:20;2
10;De do do do, De da da da;4:2;2
PHIL COLLINS;Another Day In Paradise;4:42;2
TOUCH & GO;Straight To Number One;3:6;2
Ellie Goulding;Starry Eyed;2:56;6
SIMON & GARFUNKEL;Mrs Robbinson;3:40;2
ANITA LIPNICKA;Gin Z Tonickiem;3:6;2
Bee Gees;Tragedy;4:55;4
Dżem;Naiwne Pytania;5:17;8
MS Dynamite;It takes more;4:36;1
Janis Joplin;Piece Of My Heart;4:8;1
Maleo Reggae Rockers;Alibi;3:8;4
Pink;Family Portreit;3:42;7
Los Lobos;Spanish Guitar (Desperado Soundtrack);2:3;1
DIRE STRAITS;Walk Of Life;3:34;2
Slade;Coz I Luv You;3:14;1
SISTARS;Freedom;2:55;2
DIDO;Here With Me;4:5;4
MYSLOVITZ;Sprzedawcy Marzeń;3:40;2
SCHILLER MIT HEPNER;Leben (I Feel You);3:38;1
Kult;Kocham Cie, A Miloscia Swoja;4:0;2
DES REE;Life;3:40;1
Ellie Goulding;Every Time You Go;3:25;5
Madonna;Miles Away [Radio Edit];3:38;2
ZIPERA;Bez cisnien;4:49;1
Audiofeels;Crazy (Feat Katarzyna Roscinska);3:2;2
SADE;No Ordinary Love;5:19;3
damien rice;9 crimes;3:33;1
TOTO;Africa [radio edit];3:26;4
Scorpions;Holiday;5:37;1
OMC;How Bizarre;3:44;1
Jennifer Lopez Ft.Ja Rule;Ain`t It Funny;3:48;1
MAANAM;- ZAPATRZENIE;2:50;1
Smolik;Cye;4:7;1
U2;Sweetest Thing;2:50;2
REM;Shiny Happy People;3:37;3
QUEEN;A Kind Of Magic;4:14;1
BRUCE SPRINGSTEEN;Streets Of Philadelphia;3:11;1
HEY;4 Pory;2:50;1
MIKE & THE MECHANICS;All I Need Is A Miracle;5:39;2
RICHARD MARX;Hungry Eyes;3:58;1
EDITH PIAF;Milord;4:29;1
Ellie Goulding;Under The Sheets;3:46;3
Urszula Dudziak;papaya;3:55;2
BANGELS;Manic Monday;2:57;6
MICHAEL JACKSON;Black Or White;3:29;4
Sting;Dessert Rose;4:46;1
REPUBLIKA;Telefony;4:21;7
RED HOT CHILLI PEPERS;Otherside;4:17;2
Tom Jones;She's A Lady;2:32;2
Leszcze;Kto Cie zna, lepiej niz ja;2:48;22
Christina Aguilera;Not Myself Tonight;2:59;17
Lady Gaga feat.Beyonce;Telephone;3:24;16
Tinchy Stryder;Number 1;3:29;3
Lady Gaga;Poker Face;4:6;1
Infernal;I Wont Be Crying;3:21;1
Kasia Kowalska;Prowadz Mnie;4:4;3
Jeanette;Rock My Life;3:53;2
Part Six;Love Is Over (Radio Edit);3:42;2
Alexandra Burke;Broken Heels;4:9;9
The Rasmus;October And April;3:50;1
James Kakande;You You You [Alex Gaudino & Jerema Radio Edit];3:56;1
Elize;Automatic [I'm Talking To You];3:6;1
Mattafix_;_Big_City_Life;3:52;1
Sugababes;Wear My Kiss;3:32;12
Enrique Iglesias;Takin' Back My Love ft Sarah Connor (New Version);3:38;8
metro station;shake it;3:6;6
Royal Gigolos;Tell It To My Heart;3:43;1
MARIA MENA;All This Time (Pick Me Up Song) (single vers.);3:1;4
Mariah Carey;Touch My Body (Craig C's Radio Edit);3:59;2
Marie;That’s The Way My Heart Goes;3:32;1
Marquess;Vayamos Companeros;3:8;5
H2O;Oszukam Czas;3:39;2
Schiller With Colbie Caillat;You;3:26;1
Ira;To Co Na Zawsze;2:46;1
Flipsyde;When It Was Good;3:42;2
Agnes;I Need You Now;3:8;1
